City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
348,Klaksvik,FO,62.23,-6.59,48.2,100,97,6.93,overcast clouds
349,Blacksburg,US,37.23,-80.41,52.0,61,75,3.36,broken clouds
350,Tabou,CI,4.42,-7.35,78.33,86,100,5.61,overcast clouds
351,Khovu-Aksy,RU,51.13,93.6,20.21,88,0,2.84,clear sky
352,Babu,CN,24.42,111.52,67.55,84,84,2.42,broken clouds
353,Miri,MY,4.41,114.01,75.2,100,40,2.24,scattered clouds
354,Tual,ID,-5.67,132.75,83.16,77,100,12.64,light rain
355,Tanout,NE,14.97,8.89,80.49,16,0,9.35,clear sky
356,Fort Wellington,GY,6.4,-57.6,85.51,70,0,10.92,clear sky
357,Huambo,AO,-12.78,15.74,65.21,83,100,0.6,light rain
358,Takoradi,GH,4.88,-1.76,78.96,86,30,6.62,scattered clouds
359,Manacor,ES,39.57,3.21,61.0,87,40,3.36,scattered clouds
360,Esmeraldas,BR,-19.76,-44.31,71.6,68,90,11.41,overcast clouds
361,Rio Gallegos,AR,-51.62,-69.22,62.6,36,0,9.17,clear sky
362,Tabriz,IR,38.08,46.29,57.2,30,40,4.7,scattered clouds
